,CountryName,RegionName,PredictorName,Cumul-7DMA-MAE-per-100K,PredictorRank
4817,United States,,LSTM,113.55644622221581,1.0
4817,United States,,Linear,163.44348087318102,2.0
4817,United States,,mlp_model_1110_2,295.15804242388214,3.0
4817,United States,,mlp_model_0110,343.25345706664024,4.0
4817,United States,,mlp_model_1110_6,384.17006453552256,5.0
4817,United States,,mlp_model_1110,419.1648674661566,6.0
4817,United States,,mlp_model_0110_6,443.41271991493295,7.0
4817,United States,,mlp_model_0110_2,449.76477562642816,8.0
4839,United States,Alabama,mlp_model_1110,91.6358265338825,1.0
4839,United States,Alabama,LSTM,108.40257984619707,2.0
4839,United States,Alabama,mlp_model_0110_2,114.48488509792368,3.0
4839,United States,Alabama,Linear,141.93962825519557,4.0
4839,United States,Alabama,mlp_model_1110_6,242.11364358972304,5.0
4839,United States,Alabama,mlp_model_0110_6,279.6544492288349,6.0
4839,United States,Alabama,mlp_model_1110_2,510.98718318623486,7.0
4839,United States,Alabama,mlp_model_0110,29302.377038186296,8.0
4861,United States,Alaska,mlp_model_0110_6,199.99102480889053,1.0
4861,United States,Alaska,Linear,206.66433744462927,2.0
4861,United States,Alaska,mlp_model_1110_6,208.09935029745603,3.0
4861,United States,Alaska,mlp_model_1110_2,243.75192619454398,4.0
4861,United States,Alaska,mlp_model_1110,280.35831007200676,5.0
4861,United States,Alaska,LSTM,419.0932549639996,6.0
4861,United States,Alaska,mlp_model_0110_2,539.412301663973,7.0
4861,United States,Alaska,mlp_model_0110,181462.34226050787,8.0
4883,United States,Arizona,Linear,102.52635526036774,1.0
4883,United States,Arizona,mlp_model_0110_6,163.95299298358364,2.0
4883,United States,Arizona,mlp_model_1110,176.88292407807353,3.0
4883,United States,Arizona,LSTM,237.2097071129101,4.0
4883,United States,Arizona,mlp_model_1110_6,279.6818228259933,5.0
4883,United States,Arizona,mlp_model_0110_2,296.2600528407831,6.0
4883,United States,Arizona,mlp_model_1110_2,568.1452801625933,7.0
