,Population,Percent children aged 0-17 who live in jobless households,Unemployment rate,Male Life expectancy,Female Life expectancy,Hospital beds per 100 inhabitants,Practising physicians per 100 inhabitance,At risk of poverty rate - all ages,At risk of poverty rate - less than 18 years,At risk of poverty rate - 18 to 24 years,At risk of poverty rate - 25 to 54 years,At risk of poverty rate - 55 to 64 years,At risk of poverty rate - 65 years or over,Overcrowding rate,Overcrowding rate - less than 18 years,Overcrowding rate - 18 to 64 years,Overcrowding rate - 65 years or over,"Less than primary, primary and lower secondary education (levels 0-2)","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Tertiary education (levels 5-8),"Percent workers in wholesale and retail trade, transportation and storage, accommodation and food service activities"
Albania,2845955,8.0,59.9,77.0,83.0,0.44966,0.38075,17.0,19.0,21.0,14.0,15.0,19.0,20.0,28.0,21.0,9.0,24.1,75.9,45.6,30.3,66.04385054
Austria,8901064,6.2,20.5,79.4,84.1,0.72716,0.52414,13.3,14.9,14.8,12.6,12.3,13.9,15.1,24.1,15.3,4.9,18.7,81.3,50.2,31.1,12.72984893
Belgium,11549888,10.9,27.4,79.4,83.9,0.56224,0.31296,14.8,18.9,15.9,12.6,13.0,15.7,8.1,13.6,8.1,2.0,25.9,74.1,38.1,36.0,9.507641979
Bulgaria,6951482,9.3,14.3,71.5,78.6,0.75691,0.42171,22.6,27.5,20.2,16.4,17.9,34.6,41.1,61.2,44.0,16.2,21.9,78.1,53.5,24.7,13.24570789
Croatia,4058165,5.7,11.9,74.9,81.5,0.56125,0.34406,18.3,17.1,14.3,12.9,20.3,30.1,38.5,53.5,40.7,19.1,18.1,81.9,59.9,22.0,12.9756
Cyprus,888005,6.0,3.2,80.9,84.8,0.33009,0.40732,14.7,16.7,12.0,11.8,12.0,24.6,2.2,2.7,2.4,0.5,21.5,78.5,38.5,40.0,13.94598003
Czechia,10693939,5.5,10.9,76.2,82.0,0.66182,0.40376,10.1,11.2,9.4,6.7,10.6,16.6,15.4,24.1,16.0,4.8,12.3,87.7,66.1,21.6,8.715824917
Denmark,5822763,7.5,15.2,79.1,82.9,0.24297,0.41944,12.5,10.3,36.7,11.3,7.9,9.0,10.0,10.8,12.7,1.2,26.1,73.9,40.8,33.1,11.49813242
Estonia,1328976,7.3,3.1,74.0,82.7,0.45735,0.34834,21.7,17.2,19.1,14.1,21.1,43.7,13.9,21.4,14.4,5.1,15.8,84.2,47.7,36.5,11.87041752
Finland,5525292,4.8,18.4,79.1,84.5,0.36118,0.38075,11.6,10.3,25.3,8.8,9.4,14.4,7.7,9.7,8.4,3.9,16.9,83.1,44.6,38.5,9.074289648
France,67098824,11.5,250.6,79.7,85.9,0.59085,0.31708,13.6,18.2,21.7,12.8,10.3,9.7,7.7,11.5,8.3,2.1,23.4,76.6,42.9,33.7,8.341108929
Germany,83166711,8.4,137.3,78.6,83.3,0.44966,0.43109,14.8,12.1,18.8,12.5,17.9,18.0,7.8,12.0,8.3,2.6,19.5,80.5,54.5,26.0,9.858860476
Greece,10709739,8.3,81.9,79.3,84.4,0.41977,0.38075,17.9,21.1,26.4,17.9,18.7,12.2,28.7,42.8,30.9,11.5,25.9,74.1,46.3,27.8,12.51876446
Hungary,9769526,5.6,16.0,72.7,79.6,0.70129,0.33837,12.3,11.5,15.3,11.9,14.1,11.1,20.3,38.1,19.4,6.2,20.0,80.0,57.6,22.5,11.52881931
Iceland,364134,8.0,0.7,81.3,84.5,0.28748,0.38926,17.0,19.0,21.0,14.0,15.0,19.0,20.0,28.0,21.0,9.0,27.6,72.4,34.6,37.7,11.79593227
Ireland,4963839,10.9,12.1,80.5,84.1,0.29739,0.32794,13.1,14.1,13.4,9.8,15.5,18.1,3.2,4.7,3.3,0.3,21.0,79.0,38.3,40.7,10.19013711
Italy,60244639,9.4,258.2,81.2,85.6,0.31405,0.39771,20.1,24.5,26.2,20.2,17.8,16.2,28.3,41.6,31.3,10.6,39.8,60.2,42.8,17.4,9.806816172
Latvia,1907675,7.6,6.1,70.1,79.7,0.54935,0.33038,22.9,14.5,16.4,14.2,26.4,47.9,42.2,57.7,41.8,28.5,14.9,85.1,53.8,31.4,15.36037323
Liechtenstein,38748,8.0,59.9,77.0,83.0,0.10197,0.35298,17.0,19.0,21.0,14.0,15.0,19.0,20.0,28.0,21.0,9.0,24.1,75.9,45.6,30.3,12.9756
Lithuania,2794090,8.5,9.2,70.9,80.7,0.64340,0.45978,20.6,22.7,15.7,16.2,18.1,31.6,22.9,37.3,23.0,9.9,11.1,88.9,51.0,37.9,13.63277489
Luxembourg,626108,6.2,1.7,80.1,84.6,0.45070,0.38075,17.5,24.8,26.3,16.6,14.0,9.3,7.1,9.1,7.7,1.9,26.7,73.3,32.3,41.0,5.829984603
Malta,514564,7.0,1.0,80.4,84.6,0.43084,0.39721,17.1,20.6,11.4,12.5,17.1,27.7,3.7,5.1,3.9,1.3,41.3,58.7,32.1,26.7,10.74074362
Montenegro,621873,17.1,4.3,77.0,83.0,0.39131,0.27641,17.0,19.0,21.0,14.0,15.0,19.0,20.0,28.0,21.0,9.0,17.4,82.6,60.7,21.8,12.9756
Netherlands,17407585,5.3,31.4,80.3,83.4,0.31655,0.36696,13.2,13.6,26.7,10.6,13.6,11.8,4.8,6.0,5.5,1.0,25.5,74.5,39.7,34.8,11.79018801
North Macedonia,2076255,11.4,16.6,77.0,83.0,0.44966,0.38075,21.6,27.8,25.9,20.6,19.8,14.8,43.5,53.3,43.5,29.4,30.6,69.4,51.0,18.3,12.9756
Norway,5367580,8.0,10.4,81.1,84.5,0.35274,0.48077,12.7,13.7,40.8,10.5,5.9,8.1,6.1,6.4,7.7,0.4,23.7,76.3,38.6,37.7,11.23007016
Poland,37958138,8.3,55.8,73.7,81.7,0.65369,0.38075,15.4,13.4,22.1,13.2,19.0,17.4,37.6,48.8,38.3,23.7,13.3,86.7,58.5,28.2,9.678491079
Portugal,10295909,4.5,33.9,78.3,84.5,0.34451,0.38075,17.2,18.5,21.0,15.4,19.0,17.3,9.5,16.2,9.9,3.1,47.6,52.4,28.7,23.8,13.37184507
Romania,19317984,7.3,35.3,71.7,79.2,0.69683,0.30470,23.8,30.8,31.2,19.6,21.1,25.1,45.8,66.3,47.8,18.1,25.1,74.9,58.9,16.0,8.888851963
Serbia,6926705,8.4,33.6,77.0,83.0,0.56425,0.29823,23.2,28.9,25.6,21.9,21.7,21.1,53.3,66.9,55.7,34.5,24.1,75.9,45.6,30.3,12.9756
Slovakia,5457873,7.5,15.8,73.9,80.8,0.56962,0.38075,11.9,19.0,14.7,10.2,9.8,8.7,34.1,43.0,35.9,16.7,14.5,85.5,62.3,23.1,14.62406692
Slovenia,2095861,2.6,4.6,78.5,84.4,0.44279,0.31781,12.0,10.5,9.9,9.1,14.7,18.6,11.6,17.6,11.8,4.5,15.8,84.2,54.9,29.3,10.36791085
Spain,47329981,8.3,324.8,80.7,86.3,0.29715,0.40208,20.7,27.4,27.5,20.6,16.8,14.5,5.9,9.7,6.0,1.8,39.6,60.4,25.3,35.1,13.56843984
Sweden,10327589,10.5,37.6,80.9,84.3,0.21379,0.38075,17.1,21.5,30.0,15.4,9.3,15.2,15.6,22.8,16.8,4.1,20.8,79.2,41.5,37.8,9.392637527
Switzerland,8606033,8.0,21.6,81.9,85.7,0.46276,0.43386,16.0,18.1,15.5,11.6,13.0,27.1,6.4,8.5,7.0,1.9,16.5,83.5,44.9,38.6,10.17587313
Turkey,83154997,12.0,444.5,77.0,83.0,0.28488,0.38075,22.4,33.7,23.2,18.8,10.9,14.9,40.7,52.3,38.3,20.4,60.5,39.5,21.1,18.4,12.9756
United Kingdom,67025542,10.5,126.9,79.5,83.1,0.24954,0.28405,17.0,19.0,21.0,14.0,15.0,19.0,20.0,28.0,21.0,9.0,19.1,80.9,40.2,40.6,12.91912716
