state,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02
vt,302461.0,65477.0,152178.0,84806.0,73088.0,93774.0,135599.0,3049.0,591.0,1533.0,15495.0,29289.0,9141.0,37273.0,7308.0,4801.0,8721.0,3072.0,16129.0,2221.0,11689.0,38627.0,54068.0,4659.0,30326.0,8784.0,15685.0,287345.0,4707.0,999.0,5560.0,112.0,3738.0,296890.0,5571.0,18385.0,70042.0,74481.0,74076.0,146262.0,156199.0
mn,2859811.0,687480.0,1505652.0,666679.0,652966.0,770842.0,1436003.0,21775.0,6356.0,14095.0,125146.0,319975.0,130915.0,278251.0,86969.0,51902.0,138529.0,34591.0,165430.0,99675.0,128093.0,267386.0,491307.0,52538.0,224260.0,91592.0,131026.0,2460009.0,180912.0,25447.0,144658.0,2111.0,46674.0,2733982.0,125829.0,179761.0,562588.0,751091.0,678891.0,1403239.0,1456572.0
ma,3471465.0,808963.0,1800963.0,861539.0,711641.0,864005.0,1895819.0,7538.0,1029.0,15144.0,160433.0,238723.0,118308.0,342963.0,91988.0,97364.0,171648.0,46065.0,315142.0,75631.0,173939.0,355552.0,631912.0,67340.0,295755.0,120778.0,144213.0,2852048.0,310053.0,13800.0,235947.0,3924.0,55693.0,3121697.0,349768.0,276482.0,595435.0,764557.0,1026028.0,1680936.0,1790529.0
ia,1547050.0,374901.0,795316.0,376833.0,364645.0,468649.0,713756.0,19810.0,2583.0,8182.0,76137.0,219935.0,68192.0,175304.0,57260.0,22694.0,95865.0,14871.0,57583.0,23691.0,69087.0,159874.0,229235.0,19770.0,118638.0,43882.0,64457.0,1427676.0,58977.0,6219.0,35218.0,1376.0,17584.0,1466737.0,80313.0,106727.0,340726.0,404077.0,320619.0,770684.0,776366.0
id,747187.0,185063.0,396502.0,165622.0,189518.0,272231.0,285438.0,23216.0,2846.0,3610.0,48558.0,72536.0,30253.0,89487.0,22854.0,10223.0,25677.0,8581.0,38938.0,8021.0,46586.0,65282.0,107322.0,12810.0,67007.0,20023.0,43357.0,700599.0,8651.0,10024.0,13339.0,1648.0,12926.0,663075.0,84112.0,68738.0,167762.0,192096.0,133528.0,387700.0,359487.0
ut,1440005.0,410659.0,758801.0,270545.0,370795.0,471044.0,598166.0,6355.0,10312.0,6281.0,102865.0,130580.0,51343.0,165930.0,59354.0,37911.0,66291.0,20674.0,105603.0,19059.0,90936.0,149866.0,166880.0,31368.0,118379.0,36672.0,63346.0,1320564.0,24327.0,16520.0,41243.0,12234.0,25117.0,1265017.0,174988.0,115509.0,261809.0,344580.0,307448.0,776327.0,663678.0
ct,1697689.0,363881.0,880700.0,453108.0,345813.0,442413.0,909463.0,4610.0,650.0,7378.0,64596.0,160519.0,64566.0,181879.0,48960.0,38242.0,109540.0,22346.0,104871.0,34034.0,92395.0,182874.0,284588.0,34415.0,138513.0,66651.0,56062.0,1370698.0,210012.0,6929.0,81350.0,1822.0,26878.0,1475398.0,222291.0,146452.0,317485.0,394459.0,475412.0,822620.0,875069.0
sd,413522.0,98036.0,210364.0,105122.0,103435.0,137823.0,172264.0,6358.0,1688.0,2313.0,22338.0,42850.0,20920.0,51496.0,11114.0,5714.0,23648.0,4232.0,14884.0,5477.0,12635.0,38766.0,67962.0,7791.0,38752.0,11040.0,23544.0,371796.0,8619.0,20102.0,6353.0,327.0,6325.0,398134.0,15388.0,29788.0,99740.0,110344.0,75614.0,205080.0,208442.0
ok,1598852.0,389822.0,836542.0,372488.0,365351.0,592000.0,641501.0,10534.0,50189.0,15845.0,86298.0,144090.0,59721.0,177393.0,53361.0,22908.0,57142.0,21929.0,77256.0,22342.0,102673.0,151886.0,224668.0,37045.0,152963.0,38496.0,92113.0,1223977.0,133411.0,125455.0,38616.0,2300.0,75093.0,1457255.0,141597.0,155467.0,369835.0,400371.0,283357.0,810313.0,788539.0
la,1885516.0,438895.0,1017663.0,428958.0,457133.0,649844.0,778539.0,9488.0,35745.0,12941.0,142352.0,137113.0,69723.0,226018.0,72704.0,28764.0,55819.0,31414.0,92393.0,24054.0,107040.0,160319.0,307195.0,36861.0,204822.0,47696.0,83055.0,1216980.0,601440.0,11506.0,35357.0,1077.0,19156.0,1806312.0,79204.0,216379.0,454113.0,458712.0,317417.0,933432.0,952084.0
